Local time,Open,High,Low,Close,Volume
20.05.2020 23:00:00.000 GMT+0200,1.09769,1.10083,1.09371,1.09484,175101.84850000002
21.05.2020 23:00:00.000 GMT+0200,1.09472,1.09535,1.08852,1.08980,162130.25189999997
24.05.2020 23:00:00.000 GMT+0200,1.08956,1.09144,1.08706,1.08950,97996.43130000001
25.05.2020 23:00:00.000 GMT+0200,1.08950,1.09957,1.08919,1.09816,202117.31820000004
26.05.2020 23:00:00.000 GMT+0200,1.09812,1.10307,1.09340,1.10026,323507.2367
27.05.2020 23:00:00.000 GMT+0200,1.10024,1.10934,1.09916,1.10767,230033.97069999998
28.05.2020 23:00:00.000 GMT+0200,1.10767,1.11451,1.10698,1.11036,380449.85360000003
31.05.2020 23:00:00.000 GMT+0200,1.11129,1.11540,1.11004,1.11353,244746.6626
01.06.2020 23:00:00.000 GMT+0200,1.11353,1.11959,1.11151,1.11693,273133.1005
02.06.2020 23:00:00.000 GMT+0200,1.11690,1.12577,1.11667,1.12328,244113.37660000002
03.06.2020 23:00:00.000 GMT+0200,1.12325,1.13623,1.11947,1.13370,274067.7625
04.06.2020 23:00:00.000 GMT+0200,1.13367,1.13836,1.12784,1.12911,271855.157
07.06.2020 23:00:00.000 GMT+0200,1.12934,1.13198,1.12682,1.12937,200343.66460000005
08.06.2020 23:00:00.000 GMT+0200,1.12936,1.13638,1.12409,1.13395,236624.38430000003
09.06.2020 23:00:00.000 GMT+0200,1.13395,1.14224,1.13219,1.13729,249929.06629999998
10.06.2020 23:00:00.000 GMT+0200,1.13729,1.14036,1.12885,1.12989,300185.0817
11.06.2020 23:00:00.000 GMT+0200,1.12989,1.13405,1.12125,1.12550,311745.4696
14.06.2020 23:00:00.000 GMT+0200,1.12329,1.13324,1.12262,1.13228,291436.8465
15.06.2020 23:00:00.000 GMT+0200,1.13228,1.13532,1.12278,1.12631,236707.10020000004
16.06.2020 23:00:00.000 GMT+0200,1.12629,1.12939,1.12068,1.12432,248437.56109999996
17.06.2020 23:00:00.000 GMT+0200,1.12428,1.12613,1.11854,1.12055,235975.64069999996
18.06.2020 23:00:00.000 GMT+0200,1.12054,1.12542,1.11680,1.11759,239664.60189999998
21.06.2020 23:00:00.000 GMT+0200,1.11835,1.12698,1.11684,1.12597,180066.2664
22.06.2020 23:00:00.000 GMT+0200,1.12597,1.13486,1.12330,1.13074,238122.34230000002
23.06.2020 23:00:00.000 GMT+0200,1.13073,1.13257,1.12482,1.12503,231204.87480000002
24.06.2020 23:00:00.000 GMT+0200,1.12503,1.12597,1.11903,1.12170,234684.12150000004
25.06.2020 23:00:00.000 GMT+0200,1.12181,1.12393,1.11951,1.12170,175079.05190000002
28.06.2020 23:00:00.000 GMT+0200,1.12149,1.12879,1.12149,1.12410,179170.74770000004
29.06.2020 23:00:00.000 GMT+0200,1.12412,1.12619,1.11910,1.12336,196959.7751
30.06.2020 23:00:00.000 GMT+0200,1.12340,1.12751,1.11848,1.12507,186639.93899999998
01.07.2020 23:00:00.000 GMT+0200,1.12507,1.13026,1.12233,1.12388,184185.11049999998
02.07.2020 23:00:00.000 GMT+0200,1.12391,1.12518,1.12192,1.12464,146874.5163
05.07.2020 23:00:00.000 GMT+0200,1.12433,1.13454,1.12411,1.13089,142461.6754
06.07.2020 23:00:00.000 GMT+0200,1.13087,1.13325,1.12588,1.12727,161140.33959999998
07.07.2020 23:00:00.000 GMT+0200,1.12725,1.13518,1.12623,1.13293,164988.71140000003
08.07.2020 23:00:00.000 GMT+0200,1.13292,1.13706,1.12801,1.12846,199150.411
09.07.2020 23:00:00.000 GMT+0200,1.12845,1.13247,1.12547,1.12990,180567.1502
12.07.2020 23:00:00.000 GMT+0200,1.13039,1.13748,1.13008,1.13435,240740.0432
13.07.2020 23:00:00.000 GMT+0200,1.13431,1.14086,1.13251,1.13993,356993.2815
14.07.2020 23:00:00.000 GMT+0200,1.13990,1.14520,1.13910,1.14113,308569.0307
15.07.2020 23:00:00.000 GMT+0200,1.14113,1.14417,1.13704,1.13834,286760.4847
16.07.2020 23:00:00.000 GMT+0200,1.13832,1.14436,1.13756,1.14269,180941.2344
19.07.2020 23:00:00.000 GMT+0200,1.14084,1.14677,1.14023,1.14472,287644.34409999993
20.07.2020 23:00:00.000 GMT+0200,1.14472,1.15398,1.14228,1.15265,381991.7860999999
21.07.2020 23:00:00.000 GMT+0200,1.15268,1.16013,1.15068,1.15695,469647.1546
22.07.2020 23:00:00.000 GMT+0200,1.15693,1.16268,1.15403,1.15959,357670.2735
23.07.2020 23:00:00.000 GMT+0200,1.15959,1.16580,1.15812,1.16546,414395.3563
26.07.2020 23:00:00.000 GMT+0200,1.16430,1.17813,1.16413,1.17510,340905.59719999996
27.07.2020 23:00:00.000 GMT+0200,1.17512,1.17736,1.16987,1.17150,345127.89690000005
28.07.2020 23:00:00.000 GMT+0200,1.17148,1.18061,1.17118,1.17907,338594.79219999997
29.07.2020 23:00:00.000 GMT+0200,1.17910,1.18482,1.17308,1.18467,336437.8065
30.07.2020 23:00:00.000 GMT+0200,1.18465,1.19087,1.17617,1.17753,580493.2094000002
02.08.2020 23:00:00.000 GMT+0200,1.17725,1.17966,1.16959,1.17617,314524.6608
03.08.2020 23:00:00.000 GMT+0200,1.17633,1.18059,1.17211,1.18028,430308.77009999997
04.08.2020 23:00:00.000 GMT+0200,1.18026,1.19048,1.17929,1.18629,1048544.3638000002
05.08.2020 23:00:00.000 GMT+0200,1.18627,1.19160,1.18179,1.18763,1292643.1381
06.08.2020 23:00:00.000 GMT+0200,1.18763,1.18828,1.17551,1.17862,434629.11260000005
09.08.2020 23:00:00.000 GMT+0200,1.17886,1.18006,1.17359,1.17371,301512.8612
10.08.2020 23:00:00.000 GMT+0200,1.17373,1.18080,1.17219,1.17395,586722.8837000001
11.08.2020 23:00:00.000 GMT+0200,1.17395,1.18170,1.17110,1.17835,626910.6561
12.08.2020 23:00:00.000 GMT+0200,1.17835,1.18641,1.17796,1.18131,452405.64350000006
13.08.2020 23:00:00.000 GMT+0200,1.18126,1.18503,1.17817,1.18414,334420.3121
16.08.2020 23:00:00.000 GMT+0200,1.18389,1.18809,1.18286,1.18698,301857.7687
17.08.2020 23:00:00.000 GMT+0200,1.18698,1.19656,1.18658,1.19305,323407.4814
18.08.2020 23:00:00.000 GMT+0200,1.19306,1.19526,1.18302,1.18385,529791.385
19.08.2020 23:00:00.000 GMT+0200,1.18396,1.18686,1.18019,1.18599,429140.3609
20.08.2020 23:00:00.000 GMT+0200,1.18599,1.18828,1.17541,1.17949,388376.97390000004
23.08.2020 23:00:00.000 GMT+0200,1.17911,1.18495,1.17841,1.17873,217817.74249999996
24.08.2020 23:00:00.000 GMT+0200,1.17871,1.18435,1.17841,1.18343,420332.1848000001
25.08.2020 23:00:00.000 GMT+0200,1.18340,1.18391,1.17721,1.18298,275299.32289999997
26.08.2020 23:00:00.000 GMT+0200,1.18297,1.19018,1.17623,1.18215,465558.4992
27.08.2020 23:00:00.000 GMT+0200,1.18215,1.19197,1.18109,1.19018,572861.7089
30.08.2020 23:00:00.000 GMT+0200,1.18998,1.19660,1.18840,1.19361,998345.731
31.08.2020 23:00:00.000 GMT+0200,1.19358,1.20113,1.19013,1.19113,375627.6456
01.09.2020 23:00:00.000 GMT+0200,1.19112,1.19287,1.18221,1.18547,727000.7346
02.09.2020 23:00:00.000 GMT+0200,1.18506,1.18646,1.17889,1.18512,888288.6439
03.09.2020 23:00:00.000 GMT+0200,1.18513,1.18654,1.17809,1.18371,975069.8785999998
06.09.2020 23:00:00.000 GMT+0200,1.18432,1.18486,1.18117,1.18133,473109.8130000001
07.09.2020 23:00:00.000 GMT+0200,1.18133,1.18273,1.17654,1.17737,904698.4055
08.09.2020 23:00:00.000 GMT+0200,1.17749,1.18339,1.17527,1.18025,847151.7323999999
09.09.2020 23:00:00.000 GMT+0200,1.18026,1.19175,1.18004,1.18146,1079876.5923
10.09.2020 23:00:00.000 GMT+0200,1.18145,1.18741,1.18130,1.18453,921866.9279
13.09.2020 23:00:00.000 GMT+0200,1.18348,1.18880,1.18319,1.18643,908617.9663
14.09.2020 23:00:00.000 GMT+0200,1.18648,1.19005,1.18395,1.18462,889556.0084
15.09.2020 23:00:00.000 GMT+0200,1.18465,1.18825,1.17876,1.18155,999318.6814
16.09.2020 23:00:00.000 GMT+0200,1.18156,1.18524,1.17373,1.18477,1396941.4092999997
17.09.2020 23:00:00.000 GMT+0200,1.18476,1.18705,1.18260,1.18385,1098599.2318
20.09.2020 23:00:00.000 GMT+0200,1.18369,1.18717,1.17317,1.17707,1326884.4434999998
21.09.2020 23:00:00.000 GMT+0200,1.17707,1.17735,1.16916,1.17077,1025213.6455999999
22.09.2020 23:00:00.000 GMT+0200,1.17074,1.17188,1.16513,1.16595,1081733.5506999998
23.09.2020 23:00:00.000 GMT+0200,1.16590,1.16869,1.16265,1.16708,1085492.7477999998
24.09.2020 23:00:00.000 GMT+0200,1.16706,1.16850,1.16121,1.16277,993353.679
27.09.2020 23:00:00.000 GMT+0200,1.16271,1.16799,1.16150,1.16650,1022732.4422999999
28.09.2020 23:00:00.000 GMT+0200,1.16650,1.17455,1.16614,1.17426,980638.7148999999
29.09.2020 23:00:00.000 GMT+0200,1.17430,1.17548,1.16847,1.17210,1341208.0746
30.09.2020 23:00:00.000 GMT+0200,1.17210,1.17696,1.17171,1.17460,1321574.3768
01.10.2020 23:00:00.000 GMT+0200,1.17489,1.17489,1.16956,1.17157,1400393.5694000002
04.10.2020 23:00:00.000 GMT+0200,1.17110,1.17975,1.17053,1.17825,1043070.4095
05.10.2020 23:00:00.000 GMT+0200,1.17825,1.18077,1.17317,1.17334,1202139.6668
06.10.2020 23:00:00.000 GMT+0200,1.17335,1.17818,1.17249,1.17604,1195938.1212
